Year,Track,Artist,Album,Duration (s),Genres,Track ID,Release Date,Popularity
2020,Clean Baby Sleep White Noise (Loopable),"Dream Supplier, Baby Sleeps, Background White Noise",Best White Noise For Sleeping Baby,142,Unknown,0zirWZTcXBBwGsevrsIpvT,2020-04-29,96
2020,Blinding Lights,The Weeknd,After Hours,200,Unknown,0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,88
2020,Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,164,Unknown,3hxIUxnT27p5WcmjGUXNwx,2020-02-10,85
2020,Heat Waves,Glass Animals,Dreamland,238,Unknown,3USxtqRwSYz57Ewm6wWRMp,2020-08-07,85
2020,The Cut That Always Bleeds,Conan Gray,Kid Krow,231,Unknown,7wTqEW5nrMhvyEhEyTnOMd,2020-03-20,85
2020,Save Your Tears,The Weeknd,After Hours,215,Unknown,5QO79kh1waicV47BqGRL3g,2020-03-20,85
2020,"I miss you, I’m sorry",Gracie Abrams,minor,167,Unknown,4nyF5lmSziBAt7ESAUjpbx,2020-07-14,84
2020,Heather,Conan Gray,Kid Krow,198,Unknown,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,84
2020,august,Taylor Swift,folklore,261,Unknown,3hUxzQpSfdDqwM3ZTFQY0K,2020-07-24,83
2020,cardigan,Taylor Swift,folklore,239,Unknown,4R2kfaDFhslZEMJqAFNpdd,2020-07-24,83
2020,You Should Probably Leave,Chris Stapleton,Starting Over,213,Unknown,2UikqkwBv7aIvlixeVXHWt,2020-11-13,82
2020,telepatía,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,160,Unknown,6tDDoYIxWvMLTdKpjFkc1B,2020-12-04,82
2020,Borderline,Tame Impala,The Slow Rush,237,Unknown,5hM5arv9KDbCHS0k9uqwjr,2020-02-14,82
2020,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",Music To Be Murdered By,210,Unknown,7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,82
2020,Without Me,Halsey,Manic,201,Unknown,6FZDfxM3a3UCqtzo5pxSLZ,2020-01-17,82
2020,Infrunami,Steve Lacy,The Lo-Fis,178,Unknown,0f8eRy9A0n6zXpKSHSCAEp,2020-12-04,81
2020,Took Her To The O,King Von,Levon James,196,Unknown,7fEoXCZTZFosUFvFQg1BmW,2020-03-06,81
2020,Runnin,"21 Savage, Metro Boomin",SAVAGE MODE II,195,Unknown,5SWnsxjhdcEDc7LJjq9UHk,2020-10-02,80
2020,anything,Adrianne Lenker,songs,202,Unknown,4PwWESSlTwzvw9B7bmtTLS,2020-10-23,80
2020,Sky,Playboi Carti,Whole Lotta Red,193,Unknown,29TPjc8wxfz4XMn21O7VsZ,2020-12-25,80
2020,The Adults Are Talking,The Strokes,The New Abnormal,309,Unknown,5ruzrDWcT0vuJIOMW7gMnW,2020-04-10,80
2020,No Idea,Don Toliver,Heaven Or Hell,154,Unknown,7AzlLxHn24DxjgQX73F9fU,2020-03-13,80
2020,Heartbreak Anniversary,GIVĒON,TAKE TIME,198,Unknown,3FAJ6O0NOHQV8Mc5Ri6ENp,2020-03-27,80
2020,Teeth,5 Seconds of Summer,CALM,205,Unknown,3NxWJWftvkstyxvb1pZlFo,2020-03-27,80
2020,Armed & Dangerous,King Von,Welcome to O'Block,122,Unknown,2297mxrYLBAC4XkhXs39If,2020-10-30,79
2020,BEST INTEREST,"Tyler, The Creator",BEST INTEREST,127,Unknown,3jHdKaLCkuNEkWcLVmQPCX,2020-01-25,79
2020,Glock In My Lap,"21 Savage, Metro Boomin",SAVAGE MODE II,193,Unknown,6pcywuOeGGWeOQzdUyti6k,2020-10-02,79
2020,"not a lot, just forever",Adrianne Lenker,songs,250,Unknown,11hEwcy9LMEvzAlOYAFhkK,2020-10-23,79
2020,The Thrill,"Wiz Khalifa, Empire Of The Sun",The Thrill (feat. Empire of the Sun),234,Unknown,56oGoEjA9eTZYgsttEFKY3,2020-11-11,79
2020,forwards beckon rebound,Adrianne Lenker,songs,189,Unknown,6PBanBy8L1K2Ry4UN186XH,2020-10-23,79
2020,my tears ricochet,Taylor Swift,folklore,255,Unknown,1MgV7FIyNxIG7WzMRJV5HC,2020-07-24,79
2020,Wishing Well,Juice WRLD,Legends Never Die,194,Unknown,2U5WueTLIK5WJLD7mvDODv,2020-07-10,78
2020,Yale,Ken Carson,Teen X,106,Unknown,0HTIrbUwwFn984RzVZm5Fk,2020-08-14,78
2020,party 4 u,Charli xcx,how i'm feeling now,296,Unknown,2RdEC8Ff83WkX7kDVCHseE,2020-05-15,78
2020,July,Noah Cyrus,THE END OF EVERYTHING,156,Unknown,6J2LdBN97cDWn0MLxYh9HB,2020-05-15,78
2020,Like I Want You,GIVĒON,TAKE TIME,260,Unknown,6qBFSepqLCuh5tehehc1bd,2020-03-27,78
2020,Starting Over,Chris Stapleton,Starting Over,240,Unknown,3K07bGe8iljQ3mOKArHLDo,2020-11-13,77
2020,Clouded,Brent Faiyaz,Fuck The World,110,Unknown,2J6OF7CkpdQGSfm1wdclqn,2020-02-07,77
2020,Sorrows,Bryson Tiller,A N N I V E R S A R Y,193,Unknown,5TXQCMKN6TgemTL3c4wRTn,2020-10-02,77
2020,It Almost Worked,TV Girl,The Night in Question: French Exit Outtakes,152,Unknown,4NUhcsz9E1LrBe8nXLZqzp,2020-05-01,77
2020,Martin & Gina,Polo G,THE GOAT,132,Unknown,1VLtjHwRWOVJiE5Py7JxoQ,2020-05-15,77
2020,Not You Too (feat. Chris Brown),"Drake, Chris Brown",Dark Lane Demo Tapes,269,Unknown,3Q4gttWQ6hxqWOa3tHoTNi,2020-05-01,77
2020,Crazy Train,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),293,Unknown,7ACxUo21jtTHzy7ZEV56vU,2020-09-18,77
2020,Heartless (feat. Morgan Wallen),"Diplo, Morgan Wallen",Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,169,Unknown,3FU6urUVsgXa6RBuV2PdRk,2020-05-29,76
2020,Maine,Noah Kahan,Cape Elizabeth,232,Unknown,3Z2anmIVG8b1GelyeFQdnP,2020-05-01,76
2020,Revival,Zach Bryan,Elisabeth,221,Unknown,2QfX9Pdz3q66fN3kCXl0Js,2020-05-08,76
2020,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,Stop Staring At the Shadows,168,Unknown,30QR0ndUdiiMQMA9g1PGCm,2020-02-14,76
2020,Been Away,Brent Faiyaz,Fuck The World,223,Unknown,5PvVkf1Yuq3XyMqqjPiKPd,2020-02-07,76
2020,Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),232,Unknown,6IBcOGPsniK3Pso1wHIhew,2020-10-23,75
2020,Joy Of My Life,Chris Stapleton,Starting Over,274,Unknown,4EuaDcxHmHKS6gZ5iuGba0,2020-11-13,74
2021,traitor,Olivia Rodrigo,SOUR,229,Unknown,5CZ40GBx1sQ9agT82CLQCT,2021-05-21,85
2021,The Color Violet,Tory Lanez,Alone At Prom,226,Unknown,3azJifCSqg9fRij2yKIbWz,2021-12-10,84
2021,you broke me first,Tate McRae,TOO YOUNG TO BE SAD,170,Unknown,4l0RmWt52FxpVxMNni6i63,2021-03-26,84
2021,Happier Than Ever,Billie Eilish,Happier Than Ever,298,Unknown,4RVwu0g32PAqgUiJoXsdF8,2021-07-30,84
2021,deja vu,Olivia Rodrigo,SOUR,215,Unknown,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,84
2021,drivers license,Olivia Rodrigo,SOUR,242,Unknown,5wANPM4fQCJwkGd4rN57mH,2021-05-21,84
2021,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue,252,Unknown,3QFInJAm9eyaho5vBzxInN,2021-09-10,83
2021,raining for hours,ame,grey cloud,131,Unknown,3L1JHXiqNOJ57w3n2R3HyU,2021-08-13,83
2021,Freaks,Surf Curse,Freaks,147,Unknown,7EkWXAI1wn8Ii883ecd9xr,2021-05-15,83
2021,Kiss Me More (feat. SZA),"Doja Cat, SZA",Planet Her,208,Unknown,3DarAbFujv6eYNliUTyqtz,2021-06-25,83
2021,Shivers,Ed Sheeran,=,207,Unknown,50nfwKoDiSYg8zOCREWAm5,2021-10-25,83
2021,Ghost,Justin Bieber,Justice,153,Unknown,6I3mqTwhRpn34SLVafSH7G,2021-03-19,83
2021,Easy On Me,Adele,30,224,Unknown,46IZ0fSY2mpAiktS3KOqds,2021-11-19,83
2021,Heavy,The Marías,CINEMA,253,Unknown,1ShRHPAiiIrh0arZbSFmx1,2021-06-25,82
2021,Something About You,"Eyedress, Dent May",Mulholland Drive,153,Unknown,6RiiSy9GzSwiyDEJDiMuKe,2021-08-27,82
2021,favorite crime,Olivia Rodrigo,SOUR,152,Unknown,5JCoSi02qi3jJeHdZXMmR8,2021-05-21,82
2021,good 4 u,Olivia Rodrigo,SOUR,178,Unknown,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,82
2021,Woman,Doja Cat,Planet Her,172,Unknown,6Uj1ctrBOjOas8xZXGqKk4,2021-06-25,82
2021,Pain,PinkPantheress,to hell with it,98,Unknown,4S4QJfBGGrC8jRIjJHf1Ka,2021-10-15,81
2021,Dreams & Calmness,X.L.T,Dreams & Calmness,159,Unknown,295uck3ky42Qj4rxbISGG5,2021-08-16,81
2021,Tek It,Cafuné,Running,191,Unknown,751srcHf5tUqcEa9pRCQwP,2021-07-20,81
2021,Every Night White Noise,The Noisy Outdoors,Every Night White Noise,161,Unknown,5nMbf1TCIXxtgWjcCT7pzs,2021-08-30,80
2021,"jealousy, jealousy",Olivia Rodrigo,SOUR,173,Unknown,0MMyJUC3WNnFS1lit5pTjk,2021-05-21,80
2021,Wasted On You,Morgan Wallen,Dangerous: The Double Album,178,Unknown,3cBsEDNhFI9E82vPj3kvi3,2021-01-08,79
2021,16,Baby Keem,The Melodic Blue,156,Unknown,1Is8hGpkGMiePASAxBluxM,2021-09-10,79
2021,LOT OF ME,Lil Tecca,We Love You Tecca 2,123,Unknown,2ZXxRC6V6AXzMdbLQZMHSB,2021-08-27,79
2021,Notion,The Rare Occasions,Notion,195,Unknown,0sTlGEld0h8kIPZaKDYUf4,2021-12-02,79
2021,Mess It Up,Gracie Abrams,Mess It Up,171,Unknown,0PLhwCmQ7cC3ThRGPn3HxF,2021-05-07,79
2021,Fair Trade (with Travis Scott),"Drake, Travis Scott",Certified Lover Boy,291,Unknown,40iJIUlhi6renaREYGeIDS,2021-09-03,79
2021,7 Summers,Morgan Wallen,Dangerous: The Double Album,210,Unknown,4obHzpwGrjoTuZh2DItEMZ,2021-01-08,78
2021,More Than My Hometown,Morgan Wallen,Dangerous: The Double Album,216,Unknown,5OELUCYgOHKFAvCERnAvfS,2021-01-08,78
2021,Buy Dirt,"Jordan Davis, Luke Bryan",Buy Dirt,167,Unknown,69AIpwGNLxr4qS1X5ynx60,2021-05-21,78
2021,RAPSTAR,Polo G,Hall of Fame,165,Unknown,18vXApRmJSgQ6wG2ll9AOg,2021-06-11,78
2021,Slumber Rain,Nature Of Sweden,Rainy Mind,146,Unknown,2pUhY7tWx8egpw2qn84iSi,2021-08-24,78
2021,Better in the Dark,"Jordana, TV Girl",Summer's Over,155,Unknown,3SeDS5sSoWnwAZvVgkdKzf,2021-10-13,77
2021,2055,Sleepy Hallow,Still Sleep?,123,Unknown,4XvcHTUfIlWfyJTRG0aqlo,2021-06-02,77
2021,Missed Call,Treaty Oak Revival,No Vacancy,255,Unknown,6ybZUqlfk938oS6WeBmDab,2021-01-29,76
2021,No Vacancy,Treaty Oak Revival,No Vacancy,244,Unknown,3pVs5Zehts89WLyBPiYfxG,2021-01-29,76
2021,Cover Me Up,Morgan Wallen,Dangerous: The Double Album,293,Unknown,0mKnuxVkPi5h0kuvZl44VM,2021-01-08,76
2021,Ode To Bourbon,Treaty Oak Revival,No Vacancy,241,Unknown,4kvCtReby19JPkePLwy8Pq,2021-01-29,75
2021,Mr.Trouble,BigXthaPlug,Mr.Trouble,122,Unknown,4Yicqjumhd4OdKGTu7zNGn,2021-05-13,75
2021,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator, Brent Faiyaz, Fana Hues",CALL ME IF YOU GET LOST,588,Unknown,3EG9FJ0ToLfgnc1IG2Z1wz,2021-06-25,75
2021,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",Certified Lover Boy,242,Unknown,2BcMwX1MPV6ZHP4tUT9uq6,2021-09-03,75
2021,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",Scary Hours 2,192,Unknown,65OVbaJR5O1RmwOQx0875b,2021-03-05,75
2021,Sand In My Boots,Morgan Wallen,Dangerous: The Double Album,202,Unknown,0uRrG2jRR5tuifsYIJHEao,2021-01-08,74
2021,stranger,Jhené Aiko,Sailing Soul(s),214,Unknown,7eZXAeqqdLDrAp2MvrPzWn,2021-03-19,74
2021,In A Good Way,Faye Webster,I Know I'm Funny haha,224,Unknown,2VYnlKxB8jpbCeLUjQsebc,2021-06-25,74
2021,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",CALL ME IF YOU GET LOST,121,Unknown,5B0kgjHULYJhAQkK5XsMoC,2021-06-25,74
2021,Wonder,Megan Moroney,Wonder,222,Unknown,1z89jCXIK0JzyBtaa7Sn58,2021-02-26,73
2021,Bang!,AJR,OK ORCHESTRA,170,Unknown,4SQLQfcR0vhyIN4uPBlc0d,2021-03-26,71
2022,End of Beginning,Djo,DECIDE,159,Unknown,3qhlB30KknSejmIvZZLjOD,2022-09-16,89
2022,Snooze,SZA,SOS,201,Unknown,4iZ4pt7kvcaH6Yo8UoZ4s2,2022-12-09,88
2022,As It Was,Harry Styles,Harry's House,167,Unknown,4Dvkj6JhhA12EX05fT7y2e,2022-05-20,87
2022,Stick Season,Noah Kahan,Stick Season,182,Unknown,0mflMxspEfB0VbI1kyLiAv,2022-10-14,86
2022,Deep Phase Noise 1,Milli Hughes,Deep Phase Noise,143,Unknown,5MOWBRtP53q5yNOtHaMVTh,2022-02-15,86
2022,Nobody Gets Me,SZA,SOS,180,Unknown,5Y35SjAfXjjG0sFQ3KOxmm,2022-12-09,86
2022,Kill Bill,SZA,SOS,153,Unknown,1Qrg8KqiBpW07V7PNxwwwL,2022-12-08,86
2022,Romantic Homicide,d4vd,Romantic Homicide,132,Unknown,1xK59OXxi2TAAAbmZK0kBL,2022-07-20,85
2022,Nonsense,Sabrina Carpenter,emails i can't send,163,Unknown,6dgUya35uo964z7GZXM07g,2022-07-15,85
2022,TV,Billie Eilish,Guitar Songs,281,Unknown,3GYlZ7tbxLOxe6ewMNVTkw,2022-07-21,85
2022,Something in the Orange,Zach Bryan,Something in the Orange,228,Unknown,3WMj8moIAXJhHsyLaqIIHI,2022-04-22,84
2022,the perfect pair,beabadoobee,Beatopia,177,Unknown,41P6Tnd8KIHqON0QIydx6a,2022-07-15,84
2022,Good Days,SZA,SOS,278,Unknown,4PMqSO5qyjpvzhlLI5GnID,2022-12-09,83
2022,WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",I NEVER LIKED YOU,189,Unknown,59nOXPmaKlBfGMDeOVGrIK,2022-04-29,83
2022,Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,239,Unknown,6koKhrBBcExADvWuOgceNZ,2022-12-08,83
2022,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,199,Unknown,2Hh3ETdQKrmSI3QS0hme7g,2022-12-02,83
2022,snowfall,"Øneheart, reidenshi",snowfall,124,Unknown,4xF4ZBGPZKxECeDFrqSAG4,2022-01-14,83
2022,Bad Habit,Steve Lacy,Gemini Rights,232,Unknown,4k6Uh1HXdhtusDW5y8Gbvy,2022-07-15,82
2022,Good Looking,Suki Waterhouse,Good Looking,214,Unknown,0j3mqDTK4Z6lvrLzFCUUz6,2022-08-18,82
2022,Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",HEROES & VILLAINS,194,Unknown,5wG3HvLhF6Y5KTGlK0IW3J,2022-12-02,82
2022,Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,243,Unknown,1IHWl5LamUGEuP4ozKQSXZ,2022-05-06,82
2022,Anti-Hero,Taylor Swift,Midnights,200,Unknown,0V3wPSX9ygBnCm8psDIegu,2022-10-21,82
2022,Wondering Why,The Red Clay Strays,Moment of Truth,232,Unknown,1HbzxLqpNVPdiBXvpC7Ovb,2022-04-29,81
2022,NIGHTS LIKE THESE,Benson Boone,Walk Me Home...,172,Unknown,33vZRjxJScapmRShRJq8I0,2022-07-29,81
2022,Sun to Me,Zach Bryan,American Heartbreak,163,Unknown,1SjsVdSXpwm1kTdYEHoPIT,2022-05-20,80
2022,A New Kind Of Love - Demo,"Frou Frou, Imogen Heap, Guy Sigsworth",A New Kind Of Love (Demo),259,Unknown,3fuyYaLhZ2RoP9eWpvfP1H,2022-04-08,80
2022,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,182,Unknown,0vjeOZ3Ft5jvAi9SBFJm1j,2022-12-02,80
